Name,Email,Password,Role
Adinolfi, Wilson  K,adinolfi.wilson.k@dayflow.com,Dayflow@10026,EMPLOYEE
Ait Sidi, Karthikeyan   ,ait.sidi.karthikeyan@dayflow.com,Dayflow@10084,EMPLOYEE
Akinkuolie, Sarah,akinkuolie.sarah@dayflow.com,Dayflow@10196,EMPLOYEE
Alagbe,Trina,alagbe.trina@dayflow.com,Dayflow@10088,EMPLOYEE
Anderson, Carol ,anderson.carol@dayflow.com,Dayflow@10069,EMPLOYEE
Anderson, Linda  ,anderson.linda@dayflow.com,Dayflow@10002,EMPLOYEE
Andreola, Colby,andreola.colby@dayflow.com,Dayflow@10194,EMPLOYEE
Athwal, Sam,athwal.sam@dayflow.com,Dayflow@10062,EMPLOYEE
Bachiochi, Linda,bachiochi.linda@dayflow.com,Dayflow@10114,EMPLOYEE
Bacong, Alejandro ,bacong.alejandro@dayflow.com,Dayflow@10250,EMPLOYEE
Baczenski, Rachael  ,baczenski.rachael@dayflow.com,Dayflow@10252,EMPLOYEE
Barbara, Thomas,barbara.thomas@dayflow.com,Dayflow@10242,EMPLOYEE
Barbossa, Hector,barbossa.hector@dayflow.com,Dayflow@10012,EMPLOYEE
Barone, Francesco  A,barone.francesco.a@dayflow.com,Dayflow@10265,EMPLOYEE
Barton, Nader,barton.nader@dayflow.com,Dayflow@10066,EMPLOYEE
Bates, Norman,bates.norman@dayflow.com,Dayflow@10061,EMPLOYEE
Beak, Kimberly  ,beak.kimberly@dayflow.com,Dayflow@10023,EMPLOYEE
Beatrice, Courtney ,beatrice.courtney@dayflow.com,Dayflow@10055,EMPLOYEE
Becker, Renee,becker.renee@dayflow.com,Dayflow@10245,EMPLOYEE
Becker, Scott,becker.scott@dayflow.com,Dayflow@10277,EMPLOYEE
Bernstein, Sean,bernstein.sean@dayflow.com,Dayflow@10046,EMPLOYEE
Biden, Lowan  M,biden.lowan.m@dayflow.com,Dayflow@10226,EMPLOYEE
Billis, Helen,billis.helen@dayflow.com,Dayflow@10003,EMPLOYEE
Blount, Dianna,blount.dianna@dayflow.com,Dayflow@10294,EMPLOYEE
Bondwell, Betsy,bondwell.betsy@dayflow.com,Dayflow@10267,EMPLOYEE
Booth, Frank,booth.frank@dayflow.com,Dayflow@10199,EMPLOYEE
Boutwell, Bonalyn,boutwell.bonalyn@dayflow.com,Dayflow@10081,EMPLOYEE
Bozzi, Charles,bozzi.charles@dayflow.com,Dayflow@10175,EMPLOYEE
Brill, Donna,brill.donna@dayflow.com,Dayflow@10177,EMPLOYEE
Brown, Mia,brown.mia@dayflow.com,Dayflow@10238,EMPLOYEE
Buccheri, Joseph  ,buccheri.joseph@dayflow.com,Dayflow@10184,EMPLOYEE
